filename,category,snr_level,method,processing_time_ms
1_140_plus_3-146186-A-44_0dB.wav,engine,0dB,Demucs,5392.63
1_188_plus_3-154758-A-44_0dB.wav,engine,0dB,Demucs,3657.67
1_195_plus_4-201988-A-44_0dB.wav,engine,0dB,Demucs,3632.93
1_224_plus_2-106487-A-44_0dB.wav,engine,0dB,Demucs,3669.9
1_252_plus_3-259622-A-44_0dB.wav,engine,0dB,Demucs,3631.9
1_262_plus_3-115382-A-44_0dB.wav,engine,0dB,Demucs,3631.63
1_283_plus_3-141240-B-44_0dB.wav,engine,0dB,Demucs,3657.17
1_318_plus_2-106014-A-44_0dB.wav,engine,0dB,Demucs,3808.24
1_392_plus_4-171652-A-44_0dB.wav,engine,0dB,Demucs,3761.68
1_95_plus_1-18527-A-44_0dB.wav,engine,0dB,Demucs,3788.1
