filename,category,snr_level,method,processing_time_ms
1_161_plus_4-119648-A-48_0dB.wav,fireworks,0dB,Demucs,5563.23
1_269_plus_5-160614-E-48_0dB.wav,fireworks,0dB,Demucs,3747.51
1_323_plus_2-117615-E-48_0dB.wav,fireworks,0dB,Demucs,3624.55
1_35_plus_1-25777-A-48_0dB.wav,fireworks,0dB,Demucs,3620.07
1_373_plus_2-117616-A-48_0dB.wav,fireworks,0dB,Demucs,3540.33
1_385_plus_2-165801-A-48_0dB.wav,fireworks,0dB,Demucs,3690.83
1_402_plus_5-160614-F-48_0dB.wav,fireworks,0dB,Demucs,3645.5
1_409_plus_4-119648-C-48_0dB.wav,fireworks,0dB,Demucs,3655.46
1_441_plus_1-25781-A-48_0dB.wav,fireworks,0dB,Demucs,3619.65
1_463_plus_1-115546-A-48_0dB.wav,fireworks,0dB,Demucs,3597.28
