filename,category,snr_level,method,processing_time_ms
1_162_plus_2-32515-B-4_0dB.wav,frog,0dB,Demucs,5358.02
1_187_plus_4-99644-B-4_0dB.wav,frog,0dB,Demucs,3652.61
1_230_plus_4-99644-A-4_0dB.wav,frog,0dB,Demucs,3644.23
1_240_plus_4-99644-C-4_0dB.wav,frog,0dB,Demucs,3647.6
1_249_plus_3-70962-A-4_0dB.wav,frog,0dB,Demucs,3660.04
1_277_plus_2-52789-A-4_0dB.wav,frog,0dB,Demucs,3633.62
1_36_plus_1-18757-A-4_0dB.wav,frog,0dB,Demucs,3626.26
1_425_plus_5-189795-A-4_0dB.wav,frog,0dB,Demucs,3644.74
1_481_plus_4-99193-A-4_0dB.wav,frog,0dB,Demucs,3679.98
1_488_plus_5-187201-A-4_0dB.wav,frog,0dB,Demucs,3582.25
