FILENAME,0dB,-5dB,Demucs
1_12_plus_1-181071-B-40_0dB.wav,0.2981,0.3207,0.5780
1_168_plus_5-177957-C-40_0dB.wav,0.7257,0.6350,0.4957
1_236_plus_2-188822-D-40_0dB.wav,0.3954,0.3370,0.6324
1_33_plus_2-188822-C-40_0dB.wav,0.6199,0.5569,0.5622
1_394_plus_3-150979-A-40_0dB.wav,0.8076,0.8051,0.5334
1_397_plus_4-175000-B-40_0dB.wav,0.7513,0.6369,0.5492
1_430_plus_5-205898-A-40_0dB.wav,0.4397,0.1825,0.2419
1_442_plus_4-161579-A-40_0dB.wav,1.0000,1.0000,0.3938
1_82_plus_4-193480-A-40_0dB.wav,0.7238,0.7100,0.4551
1_99_plus_5-191131-A-40_0dB.wav,0.5994,0.5211,0.5880
