FILENAME,0dB,-5dB,Demucs
1_124_plus_2-126433-A-17_0dB.wav,0.7508,0.6343,0.5311
1_13_plus_2-102414-F-17_0dB.wav,0.2963,0.2670,0.3161
1_163_plus_4-187504-A-17_0dB.wav,0.7001,0.5773,0.6898
1_191_plus_4-181628-A-17_0dB.wav,0.3356,0.1940,0.2142
1_246_plus_4-186693-A-17_0dB.wav,0.4055,0.3736,0.4821
1_281_plus_1-51436-A-17_0dB.wav,0.8211,0.5449,0.3646
1_409_plus_2-102414-G-17_0dB.wav,0.5861,0.5761,0.4897
1_440_plus_5-207781-A-17_0dB.wav,0.5572,0.4675,0.4680
1_450_plus_5-205589-A-17_0dB.wav,0.6480,0.6033,0.5067
1_59_plus_1-50625-A-17_0dB.wav,0.7572,0.6955,0.7019
