filename,category,snr_level,method,processing_time_ms
1_124_plus_3-157615-A-10_0dB.wav,rain,0dB,Demucs,5298.03
1_289_plus_2-82367-A-10_0dB.wav,rain,0dB,Demucs,3569.5
1_308_plus_4-160999-A-10_0dB.wav,rain,0dB,Demucs,3606.12
1_376_plus_2-73027-A-10_0dB.wav,rain,0dB,Demucs,3616.36
1_382_plus_3-140774-A-10_0dB.wav,rain,0dB,Demucs,3602.49
1_40_plus_5-188655-A-10_0dB.wav,rain,0dB,Demucs,3603.18
1_415_plus_1-56311-A-10_0dB.wav,rain,0dB,Demucs,3704.09
1_459_plus_1-63871-A-10_0dB.wav,rain,0dB,Demucs,3731.88
1_490_plus_1-29561-A-10_0dB.wav,rain,0dB,Demucs,3610.74
1_92_plus_3-132852-A-10_0dB.wav,rain,0dB,Demucs,3822.66
