FILENAME,0dB,-5dB,Demucs
1_19_plus_5-208810-B-11_0dB.wav,0.4312,0.3322,0.4305
1_232_plus_3-144827-B-11_0dB.wav,0.6278,0.5007,0.3813
1_265_plus_1-91359-B-11_0dB.wav,0.4526,0.3195,0.3070
1_306_plus_4-167063-B-11_0dB.wav,0.2965,0.3202,0.3667
1_442_plus_2-102852-A-11_0dB.wav,0.4233,0.3706,0.3119
1_444_plus_5-213077-A-11_0dB.wav,0.9612,0.9195,0.4564
1_466_plus_3-164120-A-11_0dB.wav,0.3429,0.2773,0.2233
1_52_plus_1-91359-A-11_0dB.wav,0.6690,0.5918,0.3884
1_64_plus_1-39901-A-11_0dB.wav,0.4664,0.4392,0.5539
1_65_plus_4-182613-B-11_0dB.wav,0.4300,0.3492,0.3882
