filename,category,snr_level,method,processing_time_ms
1_108_plus_2-39945-B-19_0dB.wav,thunderstorm,0dB,Demucs,4857.74
1_148_plus_5-188495-A-19_0dB.wav,thunderstorm,0dB,Demucs,3387.81
1_183_plus_2-39945-A-19_0dB.wav,thunderstorm,0dB,Demucs,3285.51
1_199_plus_1-24524-A-19_0dB.wav,thunderstorm,0dB,Demucs,3688.09
1_339_plus_3-103051-A-19_0dB.wav,thunderstorm,0dB,Demucs,3618.97
1_33_plus_5-195557-A-19_0dB.wav,thunderstorm,0dB,Demucs,3744.05
1_36_plus_3-144891-A-19_0dB.wav,thunderstorm,0dB,Demucs,3700.33
1_47_plus_1-101296-A-19_0dB.wav,thunderstorm,0dB,Demucs,3654.4
1_51_plus_1-24524-B-19_0dB.wav,thunderstorm,0dB,Demucs,3614.48
1_6_plus_4-125070-A-19_0dB.wav,thunderstorm,0dB,Demucs,3649.22
