filename,category,snr_level,method,processing_time_ms
1_200_plus_3-159445-B-45_0dB.wav,train,0dB,Demucs,5464.9
1_211_plus_4-165606-A-45_0dB.wav,train,0dB,Demucs,3737.19
1_215_plus_1-88409-A-45_0dB.wav,train,0dB,Demucs,3722.72
1_237_plus_2-122066-A-45_0dB.wav,train,0dB,Demucs,3731.14
1_245_plus_3-135650-B-45_0dB.wav,train,0dB,Demucs,3741.71
1_254_plus_4-168446-A-45_0dB.wav,train,0dB,Demucs,3715.76
1_470_plus_4-165845-A-45_0dB.wav,train,0dB,Demucs,3715.73
1_489_plus_2-135649-A-45_0dB.wav,train,0dB,Demucs,3727.24
1_493_plus_4-165791-A-45_0dB.wav,train,0dB,Demucs,3726.2
1_54_plus_4-165845-B-45_0dB.wav,train,0dB,Demucs,3702.18
