FILENAME,0dB,-5dB,Spectral
1_119_plus_2-98392-A-23_-5dB.wav,0.6417,0.5661,0.5665
1_190_plus_1-30709-B-23_-5dB.wav,0.7484,0.6172,0.6008
1_231_plus_5-213293-A-23_-5dB.wav,0.4273,0.4089,0.3220
1_235_plus_1-30709-C-23_-5dB.wav,0.5450,0.4276,0.6240
1_345_plus_5-261464-A-23_-5dB.wav,0.4476,0.4059,0.4885
1_38_plus_5-260164-A-23_-5dB.wav,0.6367,0.5043,0.5888
1_395_plus_3-112557-B-23_-5dB.wav,0.4502,0.4123,0.3479
1_434_plus_3-144128-B-23_-5dB.wav,0.7244,0.5609,0.7704
1_455_plus_4-205526-A-23_-5dB.wav,0.7540,0.5958,0.6185
1_52_plus_4-205526-B-23_-5dB.wav,0.8581,0.8116,0.5975
