FILENAME,0dB,-5dB,Spectral
1_138_plus_1-47819-C-5_-5dB.wav,0.3758,0.2890,0.3650
1_188_plus_5-177614-A-5_-5dB.wav,0.3763,0.3086,0.3076
1_193_plus_5-214759-A-5_-5dB.wav,0.4279,0.2677,0.2330
1_231_plus_1-34094-B-5_-5dB.wav,0.2706,0.2328,0.1891
1_265_plus_2-83934-A-5_-5dB.wav,0.3074,0.2573,0.2622
1_315_plus_3-146964-A-5_-5dB.wav,0.6606,0.5668,0.5250
1_328_plus_4-120160-A-5_-5dB.wav,0.5014,0.3977,0.5633
1_357_plus_2-83934-B-5_-5dB.wav,0.5581,0.4380,0.3735
1_395_plus_4-149940-B-5_-5dB.wav,0.7699,0.7010,0.6955
1_425_plus_5-214759-B-5_-5dB.wav,0.7703,0.6586,0.6495
