filename,category,snr_level,method,processing_time_ms
1_177_plus_3-138114-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,29.72
1_178_plus_4-189838-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,23.04
1_275_plus_5-262957-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,23.66
1_340_plus_1-115920-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,21.03
1_344_plus_1-94036-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,21.82
1_347_plus_5-249937-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,26.13
1_373_plus_2-76408-B-22_-5dB.wav,clapping,-5dB,Spectral Gating,27.39
1_376_plus_1-115921-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,18.97
1_385_plus_4-189836-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,20.06
1_459_plus_1-110537-A-22_-5dB.wav,clapping,-5dB,Spectral Gating,26.01
