filename,category,snr_level,method,processing_time_ms
1_125_plus_5-213836-B-9_-5dB.wav,crow,-5dB,Spectral Gating,30.32
1_150_plus_4-173865-B-9_-5dB.wav,crow,-5dB,Spectral Gating,28.58
1_172_plus_1-75162-A-9_-5dB.wav,crow,-5dB,Spectral Gating,25.07
1_306_plus_4-173865-A-9_-5dB.wav,crow,-5dB,Spectral Gating,28.57
1_310_plus_3-124925-A-9_-5dB.wav,crow,-5dB,Spectral Gating,25.52
1_325_plus_2-109231-A-9_-5dB.wav,crow,-5dB,Spectral Gating,25.57
1_340_plus_3-127890-A-9_-5dB.wav,crow,-5dB,Spectral Gating,21.54
1_433_plus_4-156227-A-9_-5dB.wav,crow,-5dB,Spectral Gating,27.03
1_43_plus_2-108767-A-9_-5dB.wav,crow,-5dB,Spectral Gating,25.53
1_449_plus_3-112397-A-9_-5dB.wav,crow,-5dB,Spectral Gating,24.0
