filename,category,snr_level,method,processing_time_ms
1_127_plus_5-263831-B-6_-5dB.wav,hen,-5dB,Spectral Gating,24.04
1_152_plus_2-120587-A-6_-5dB.wav,hen,-5dB,Spectral Gating,23.54
1_246_plus_3-178096-A-6_-5dB.wav,hen,-5dB,Spectral Gating,30.63
1_296_plus_1-31251-A-6_-5dB.wav,hen,-5dB,Spectral Gating,22.55
1_321_plus_3-171281-A-6_-5dB.wav,hen,-5dB,Spectral Gating,21.04
1_355_plus_3-164216-A-6_-5dB.wav,hen,-5dB,Spectral Gating,22.74
1_38_plus_3-164216-B-6_-5dB.wav,hen,-5dB,Spectral Gating,21.32
1_427_plus_5-263831-A-6_-5dB.wav,hen,-5dB,Spectral Gating,22.05
1_465_plus_2-75726-A-6_-5dB.wav,hen,-5dB,Spectral Gating,25.95
1_75_plus_1-71030-A-6_-5dB.wav,hen,-5dB,Spectral Gating,20.06
