filename,category,snr_level,method,processing_time_ms
1_107_plus_1-36164-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,21.13
1_132_plus_4-164243-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,25.55
1_159_plus_2-60791-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,22.05
1_218_plus_5-244526-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,23.05
1_296_plus_5-171118-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,24.88
1_298_plus_2-79775-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,23.54
1_314_plus_5-242932-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,26.68
1_463_plus_1-30043-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,21.25
1_482_plus_3-110536-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,24.12
1_58_plus_5-263775-A-26_-5dB.wav,laughing,-5dB,Spectral Gating,22.68
