filename,category,snr_level,method,processing_time_ms
1_173_plus_1-208757-E-2_-5dB.wav,pig,-5dB,Spectral Gating,25.04
1_181_plus_4-234644-A-2_-5dB.wav,pig,-5dB,Spectral Gating,22.35
1_207_plus_4-250869-A-2_-5dB.wav,pig,-5dB,Spectral Gating,22.61
1_228_plus_3-257858-A-2_-5dB.wav,pig,-5dB,Spectral Gating,24.39
1_36_plus_1-208757-A-2_-5dB.wav,pig,-5dB,Spectral Gating,22.92
1_391_plus_1-208757-C-2_-5dB.wav,pig,-5dB,Spectral Gating,24.02
1_393_plus_2-158746-D-2_-5dB.wav,pig,-5dB,Spectral Gating,25.68
1_431_plus_5-127990-A-2_-5dB.wav,pig,-5dB,Spectral Gating,20.53
1_440_plus_1-260640-B-2_-5dB.wav,pig,-5dB,Spectral Gating,19.44
1_453_plus_4-132383-A-2_-5dB.wav,pig,-5dB,Spectral Gating,27.05
