FILENAME,0dB,-5dB,Spectral
1_19_plus_5-208810-B-11_-5dB.wav,0.4312,0.3322,0.5416
1_232_plus_3-144827-B-11_-5dB.wav,0.6278,0.5007,0.5610
1_265_plus_1-91359-B-11_-5dB.wav,0.4526,0.3195,0.2639
1_306_plus_4-167063-B-11_-5dB.wav,0.2965,0.3202,0.4937
1_442_plus_2-102852-A-11_-5dB.wav,0.4233,0.3706,0.5208
1_444_plus_5-213077-A-11_-5dB.wav,0.9612,0.9195,0.9113
1_466_plus_3-164120-A-11_-5dB.wav,0.3429,0.2773,0.3998
1_52_plus_1-91359-A-11_-5dB.wav,0.6690,0.5918,0.5643
1_64_plus_1-39901-A-11_-5dB.wav,0.4664,0.4392,0.4501
1_65_plus_4-182613-B-11_-5dB.wav,0.4300,0.3492,0.4708
