filename,category,snr_level,method,processing_time_ms
1_112_plus_5-259180-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,23.7
1_113_plus_1-16746-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,30.56
1_171_plus_1-23094-B-15_-5dB.wav,water_drops,-5dB,Spectral Gating,35.22
1_190_plus_1-12654-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,19.54
1_251_plus_5-261439-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,18.04
1_257_plus_4-188293-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,22.84
1_359_plus_1-12653-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,19.03
1_389_plus_3-164592-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,25.04
1_496_plus_4-168155-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,20.45
1_498_plus_3-164594-A-15_-5dB.wav,water_drops,-5dB,Spectral Gating,25.78
