filename,category,snr_level,method,processing_time_ms
1_119_plus_2-98392-A-23_0dB.wav,breathing,0dB,Spectral Gating,17.53
1_190_plus_1-30709-B-23_0dB.wav,breathing,0dB,Spectral Gating,21.42
1_231_plus_5-213293-A-23_0dB.wav,breathing,0dB,Spectral Gating,20.52
1_235_plus_1-30709-C-23_0dB.wav,breathing,0dB,Spectral Gating,17.55
1_345_plus_5-261464-A-23_0dB.wav,breathing,0dB,Spectral Gating,14.01
1_38_plus_5-260164-A-23_0dB.wav,breathing,0dB,Spectral Gating,14.03
1_395_plus_3-112557-B-23_0dB.wav,breathing,0dB,Spectral Gating,16.31
1_434_plus_3-144128-B-23_0dB.wav,breathing,0dB,Spectral Gating,13.52
1_455_plus_4-205526-A-23_0dB.wav,breathing,0dB,Spectral Gating,14.52
1_52_plus_4-205526-B-23_0dB.wav,breathing,0dB,Spectral Gating,14.4
