filename,category,snr_level,method,processing_time_ms
1_134_plus_3-243726-A-43_0dB.wav,car_horn,0dB,Spectral Gating,19.44
1_179_plus_4-191015-A-43_0dB.wav,car_horn,0dB,Spectral Gating,16.51
1_190_plus_4-178402-A-43_0dB.wav,car_horn,0dB,Spectral Gating,23.03
1_207_plus_4-175855-A-43_0dB.wav,car_horn,0dB,Spectral Gating,20.38
1_238_plus_1-26177-A-43_0dB.wav,car_horn,0dB,Spectral Gating,16.02
1_342_plus_3-155234-A-43_0dB.wav,car_horn,0dB,Spectral Gating,13.6
1_386_plus_1-24074-A-43_0dB.wav,car_horn,0dB,Spectral Gating,17.0
1_392_plus_3-146697-A-43_0dB.wav,car_horn,0dB,Spectral Gating,18.49
1_75_plus_1-24076-A-43_0dB.wav,car_horn,0dB,Spectral Gating,18.52
1_78_plus_5-179860-A-43_0dB.wav,car_horn,0dB,Spectral Gating,14.51
