FILENAME,0dB,-5dB,Spectral
1_138_plus_1-47819-C-5_0dB.wav,0.3758,0.2890,0.4156
1_188_plus_5-177614-A-5_0dB.wav,0.3763,0.3086,0.3415
1_193_plus_5-214759-A-5_0dB.wav,0.4279,0.2677,0.3175
1_231_plus_1-34094-B-5_0dB.wav,0.2706,0.2328,0.2129
1_265_plus_2-83934-A-5_0dB.wav,0.3074,0.2573,0.3693
1_315_plus_3-146964-A-5_0dB.wav,0.6606,0.5668,0.6369
1_328_plus_4-120160-A-5_0dB.wav,0.5014,0.3977,0.5910
1_357_plus_2-83934-B-5_0dB.wav,0.5581,0.4380,0.4859
1_395_plus_4-149940-B-5_0dB.wav,0.7699,0.7010,0.7363
1_425_plus_5-214759-B-5_0dB.wav,0.7703,0.6586,0.7154
