FILENAME,0dB,-5dB,Spectral
1_177_plus_3-138114-A-22_0dB.wav,0.2589,0.2387,0.5162
1_178_plus_4-189838-A-22_0dB.wav,0.2299,0.2111,0.3278
1_275_plus_5-262957-A-22_0dB.wav,0.6298,0.4072,0.7337
1_340_plus_1-115920-A-22_0dB.wav,0.6013,0.3028,0.3732
1_344_plus_1-94036-A-22_0dB.wav,0.4431,0.3916,0.5172
1_347_plus_5-249937-A-22_0dB.wav,0.4050,0.3400,0.5437
1_373_plus_2-76408-B-22_0dB.wav,0.2322,0.2103,0.4061
1_376_plus_1-115921-A-22_0dB.wav,0.2255,0.1992,0.2525
1_385_plus_4-189836-A-22_0dB.wav,0.2758,0.2396,0.3514
1_459_plus_1-110537-A-22_0dB.wav,0.3025,0.2517,0.5954
