FILENAME,0dB,-5dB,Spectral
1_140_plus_3-146186-A-44_0dB.wav,0.7811,0.6147,0.6850
1_188_plus_3-154758-A-44_0dB.wav,0.5886,0.5543,0.6116
1_195_plus_4-201988-A-44_0dB.wav,0.5246,0.4824,0.4102
1_224_plus_2-106487-A-44_0dB.wav,0.7207,0.6610,0.7676
1_252_plus_3-259622-A-44_0dB.wav,0.3504,0.3672,0.4296
1_262_plus_3-115382-A-44_0dB.wav,0.8199,0.7694,0.7619
1_283_plus_3-141240-B-44_0dB.wav,0.8062,0.5453,0.8109
1_318_plus_2-106014-A-44_0dB.wav,0.4652,0.3173,0.7452
1_392_plus_4-171652-A-44_0dB.wav,0.5693,0.5436,0.6271
1_95_plus_1-18527-A-44_0dB.wav,0.4410,0.4465,0.4891
