filename,category,snr_level,method,processing_time_ms
1_127_plus_5-263831-B-6_0dB.wav,hen,0dB,Spectral Gating,19.0
1_152_plus_2-120587-A-6_0dB.wav,hen,0dB,Spectral Gating,22.33
1_246_plus_3-178096-A-6_0dB.wav,hen,0dB,Spectral Gating,20.77
1_296_plus_1-31251-A-6_0dB.wav,hen,0dB,Spectral Gating,15.3
1_321_plus_3-171281-A-6_0dB.wav,hen,0dB,Spectral Gating,18.96
1_355_plus_3-164216-A-6_0dB.wav,hen,0dB,Spectral Gating,15.51
1_38_plus_3-164216-B-6_0dB.wav,hen,0dB,Spectral Gating,15.43
1_427_plus_5-263831-A-6_0dB.wav,hen,0dB,Spectral Gating,15.5
1_465_plus_2-75726-A-6_0dB.wav,hen,0dB,Spectral Gating,19.9
1_75_plus_1-71030-A-6_0dB.wav,hen,0dB,Spectral Gating,18.5
