FILENAME,0dB,-5dB,Spectral
1_124_plus_2-126433-A-17_0dB.wav,0.7508,0.6343,0.5951
1_13_plus_2-102414-F-17_0dB.wav,0.2963,0.2670,0.3522
1_163_plus_4-187504-A-17_0dB.wav,0.7001,0.5773,0.4271
1_191_plus_4-181628-A-17_0dB.wav,0.3356,0.1940,0.2479
1_246_plus_4-186693-A-17_0dB.wav,0.4055,0.3736,0.3032
1_281_plus_1-51436-A-17_0dB.wav,0.8211,0.5449,0.5860
1_409_plus_2-102414-G-17_0dB.wav,0.5861,0.5761,0.5129
1_440_plus_5-207781-A-17_0dB.wav,0.5572,0.4675,0.5081
1_450_plus_5-205589-A-17_0dB.wav,0.6480,0.6033,0.6003
1_59_plus_1-50625-A-17_0dB.wav,0.7572,0.6955,0.6467
