filename,category,snr_level,method,processing_time_ms
1_19_plus_5-208810-B-11_0dB.wav,sea_waves,0dB,Spectral Gating,20.5
1_232_plus_3-144827-B-11_0dB.wav,sea_waves,0dB,Spectral Gating,17.5
1_265_plus_1-91359-B-11_0dB.wav,sea_waves,0dB,Spectral Gating,19.0
1_306_plus_4-167063-B-11_0dB.wav,sea_waves,0dB,Spectral Gating,20.52
1_442_plus_2-102852-A-11_0dB.wav,sea_waves,0dB,Spectral Gating,19.5
1_444_plus_5-213077-A-11_0dB.wav,sea_waves,0dB,Spectral Gating,24.0
1_466_plus_3-164120-A-11_0dB.wav,sea_waves,0dB,Spectral Gating,24.04
1_52_plus_1-91359-A-11_0dB.wav,sea_waves,0dB,Spectral Gating,18.51
1_64_plus_1-39901-A-11_0dB.wav,sea_waves,0dB,Spectral Gating,19.59
1_65_plus_4-182613-B-11_0dB.wav,sea_waves,0dB,Spectral Gating,19.0
