filename,category,snr_level,method,processing_time_ms
1_132_plus_2-182508-A-8_0dB.wav,sheep,0dB,Spectral Gating,33.42
1_167_plus_4-250864-A-8_0dB.wav,sheep,0dB,Spectral Gating,26.67
1_197_plus_3-197408-B-8_0dB.wav,sheep,0dB,Spectral Gating,21.5
1_235_plus_4-188703-D-8_0dB.wav,sheep,0dB,Spectral Gating,17.51
1_276_plus_5-200329-A-8_0dB.wav,sheep,0dB,Spectral Gating,18.5
1_27_plus_3-140199-B-8_0dB.wav,sheep,0dB,Spectral Gating,26.88
1_375_plus_5-61635-A-8_0dB.wav,sheep,0dB,Spectral Gating,24.81
1_401_plus_3-140199-A-8_0dB.wav,sheep,0dB,Spectral Gating,24.84
1_53_plus_1-57795-A-8_0dB.wav,sheep,0dB,Spectral Gating,37.27
1_70_plus_1-121951-A-8_0dB.wav,sheep,0dB,Spectral Gating,35.0
