FILENAME,0dB,-5dB,Spectral
1_114_plus_2-51173-A-35_0dB.wav,0.7097,0.6997,0.6290
1_135_plus_1-32373-A-35_0dB.wav,0.4383,0.3483,0.6484
1_142_plus_3-156393-A-35_0dB.wav,0.4844,0.3790,0.5897
1_247_plus_1-49098-A-35_0dB.wav,0.4127,0.3894,0.6870
1_290_plus_3-182710-B-35_0dB.wav,0.7376,0.5280,0.6679
1_363_plus_5-207811-A-35_0dB.wav,0.4114,0.3254,0.5086
1_379_plus_2-102567-C-35_0dB.wav,0.3588,0.3293,0.4285
1_429_plus_5-141683-A-35_0dB.wav,0.6405,0.6286,0.8548
1_467_plus_3-151273-A-35_0dB.wav,0.6469,0.3840,0.8048
1_72_plus_1-27165-A-35_0dB.wav,0.3062,0.3360,0.3843
