filename,category,snr_level,method,processing_time_ms
1_127_plus_1-47714-A-16_0dB.wav,wind,0dB,Spectral Gating,25.15
1_144_plus_1-51036-A-16_0dB.wav,wind,0dB,Spectral Gating,23.02
1_150_plus_4-144083-B-16_0dB.wav,wind,0dB,Spectral Gating,28.8
1_286_plus_2-109371-B-16_0dB.wav,wind,0dB,Spectral Gating,22.55
1_370_plus_1-69760-A-16_0dB.wav,wind,0dB,Spectral Gating,24.83
1_43_plus_4-163606-A-16_0dB.wav,wind,0dB,Spectral Gating,30.21
1_450_plus_2-109371-C-16_0dB.wav,wind,0dB,Spectral Gating,18.52
1_477_plus_5-217186-C-16_0dB.wav,wind,0dB,Spectral Gating,26.69
1_53_plus_3-134699-B-16_0dB.wav,wind,0dB,Spectral Gating,28.24
1_75_plus_4-163609-A-16_0dB.wav,wind,0dB,Spectral Gating,27.54
