FILENAME,0dB,-5dB,Wavelet
1_129_plus_2-130245-A-34_-5dB.wav,0.9689,0.9109,0.5329
1_208_plus_1-41615-A-34_-5dB.wav,0.7184,0.6919,0.6701
1_28_plus_2-81190-A-34_-5dB.wav,0.5241,0.5258,0.5382
1_305_plus_2-83688-A-34_-5dB.wav,0.5191,0.4214,0.4647
1_326_plus_1-68734-A-34_-5dB.wav,0.8123,0.6576,0.4176
1_336_plus_4-175025-A-34_-5dB.wav,0.8197,0.7405,0.3234
1_402_plus_3-148932-A-34_-5dB.wav,0.8795,0.8284,0.3607
1_424_plus_1-43764-A-34_-5dB.wav,0.8593,0.7841,0.8321
1_485_plus_2-83667-A-34_-5dB.wav,0.5936,0.5182,0.5619
1_496_plus_1-101404-A-34_-5dB.wav,0.6809,0.4363,0.2308
