filename,category,snr_level,method,processing_time_ms
1_130_plus_1-100038-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2537.31
1_139_plus_2-122616-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,3.98
1_251_plus_4-223125-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,4.46
1_252_plus_4-223127-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.5
1_270_plus_4-187769-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.75
1_286_plus_3-155577-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.53
1_317_plus_1-38560-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.75
1_319_plus_4-182795-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,3.78
1_430_plus_3-155579-A-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.51
1_4_plus_4-159609-B-14_-5dB.wav,chirping_birds,-5dB,Wavelet,2.63
