FILENAME,0dB,-5dB,Wavelet
1_161_plus_1-96890-A-37_-5dB.wav,0.3556,0.3680,0.5099
1_211_plus_4-209698-A-37_-5dB.wav,0.5659,0.5100,0.4680
1_236_plus_5-219242-B-37_-5dB.wav,0.2988,0.2146,0.2867
1_268_plus_3-148297-A-37_-5dB.wav,0.7301,0.6208,0.5564
1_292_plus_5-219242-A-37_-5dB.wav,0.2709,0.2851,0.2439
1_295_plus_2-78562-A-37_-5dB.wav,0.3381,0.3076,0.3653
1_31_plus_5-234247-A-37_-5dB.wav,0.4192,0.3893,0.2457
1_383_plus_1-74517-A-37_-5dB.wav,0.7845,0.6293,0.4237
1_475_plus_5-233645-A-37_-5dB.wav,0.7554,0.8189,0.3114
1_65_plus_2-102435-A-37_-5dB.wav,0.4383,0.3810,0.3746
