filename,category,snr_level,method,processing_time_ms
1_149_plus_1-17742-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2575.61
1_25_plus_3-104632-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,4.0
1_269_plus_4-181563-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,3.52
1_310_plus_3-158476-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.22
1_373_plus_2-28314-B-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.0
1_429_plus_5-193473-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.51
1_46_plus_5-215658-B-12_-5dB.wav,crackling_fire,-5dB,Wavelet,4.01
1_484_plus_5-193473-B-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.01
1_490_plus_2-18766-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.0
1_54_plus_3-65748-A-12_-5dB.wav,crackling_fire,-5dB,Wavelet,2.55
