filename,category,snr_level,method,processing_time_ms
1_107_plus_1-36164-A-26_-5dB.wav,laughing,-5dB,Wavelet,2462.81
1_132_plus_4-164243-A-26_-5dB.wav,laughing,-5dB,Wavelet,3.01
1_159_plus_2-60791-A-26_-5dB.wav,laughing,-5dB,Wavelet,3.01
1_218_plus_5-244526-A-26_-5dB.wav,laughing,-5dB,Wavelet,3.5
1_296_plus_5-171118-A-26_-5dB.wav,laughing,-5dB,Wavelet,2.0
1_298_plus_2-79775-A-26_-5dB.wav,laughing,-5dB,Wavelet,3.02
1_314_plus_5-242932-A-26_-5dB.wav,laughing,-5dB,Wavelet,2.73
1_463_plus_1-30043-A-26_-5dB.wav,laughing,-5dB,Wavelet,2.16
1_482_plus_3-110536-A-26_-5dB.wav,laughing,-5dB,Wavelet,3.0
1_58_plus_5-263775-A-26_-5dB.wav,laughing,-5dB,Wavelet,2.86
