FILENAME,0dB,-5dB,Wavelet
1_136_plus_4-172500-D-27_0dB.wav,0.5680,0.4752,0.4726
1_213_plus_5-218196-A-27_0dB.wav,0.4262,0.4882,0.4455
1_236_plus_3-118069-A-27_0dB.wav,0.5803,0.5665,0.3124
1_24_plus_5-180229-A-27_0dB.wav,0.5027,0.4858,0.4977
1_256_plus_4-172500-A-27_0dB.wav,0.4190,0.3738,0.3255
1_290_plus_3-126391-B-27_0dB.wav,0.5716,0.4941,0.4586
1_351_plus_1-58923-B-27_0dB.wav,0.6175,0.5090,0.3798
1_412_plus_3-139331-A-27_0dB.wav,0.2453,0.2216,0.3782
1_426_plus_5-220939-A-27_0dB.wav,0.6011,0.5216,0.5490
1_56_plus_2-86160-A-27_0dB.wav,0.6241,0.5235,0.4148
