filename,category,snr_level,method,processing_time_ms
1_12_plus_1-181071-B-40_0dB.wav,helicopter,0dB,Wavelet,2531.64
1_168_plus_5-177957-C-40_0dB.wav,helicopter,0dB,Wavelet,3.0
1_236_plus_2-188822-D-40_0dB.wav,helicopter,0dB,Wavelet,2.71
1_33_plus_2-188822-C-40_0dB.wav,helicopter,0dB,Wavelet,3.66
1_394_plus_3-150979-A-40_0dB.wav,helicopter,0dB,Wavelet,3.0
1_397_plus_4-175000-B-40_0dB.wav,helicopter,0dB,Wavelet,2.68
1_430_plus_5-205898-A-40_0dB.wav,helicopter,0dB,Wavelet,2.86
1_442_plus_4-161579-A-40_0dB.wav,helicopter,0dB,Wavelet,2.48
1_82_plus_4-193480-A-40_0dB.wav,helicopter,0dB,Wavelet,3.04
1_99_plus_5-191131-A-40_0dB.wav,helicopter,0dB,Wavelet,5.02
