filename,category,snr_level,method,processing_time_ms
1_124_plus_3-157615-A-10_0dB.wav,rain,0dB,Wavelet,2489.42
1_289_plus_2-82367-A-10_0dB.wav,rain,0dB,Wavelet,3.01
1_308_plus_4-160999-A-10_0dB.wav,rain,0dB,Wavelet,3.34
1_376_plus_2-73027-A-10_0dB.wav,rain,0dB,Wavelet,2.96
1_382_plus_3-140774-A-10_0dB.wav,rain,0dB,Wavelet,3.0
1_40_plus_5-188655-A-10_0dB.wav,rain,0dB,Wavelet,3.0
1_415_plus_1-56311-A-10_0dB.wav,rain,0dB,Wavelet,2.5
1_459_plus_1-63871-A-10_0dB.wav,rain,0dB,Wavelet,3.0
1_490_plus_1-29561-A-10_0dB.wav,rain,0dB,Wavelet,2.51
1_92_plus_3-132852-A-10_0dB.wav,rain,0dB,Wavelet,2.35
