filename,category,snr_level,method,processing_time_ms
1_102_plus_2-67422-A-18_0dB.wav,toilet_flush,0dB,Wavelet,2582.54
1_107_plus_5-177034-A-18_0dB.wav,toilet_flush,0dB,Wavelet,3.01
1_140_plus_2-74977-A-18_0dB.wav,toilet_flush,0dB,Wavelet,4.49
1_215_plus_3-118059-A-18_0dB.wav,toilet_flush,0dB,Wavelet,5.5
1_239_plus_4-152958-A-18_0dB.wav,toilet_flush,0dB,Wavelet,3.51
1_26_plus_1-30214-A-18_0dB.wav,toilet_flush,0dB,Wavelet,3.0
1_281_plus_1-53670-A-18_0dB.wav,toilet_flush,0dB,Wavelet,2.5
1_309_plus_5-185908-A-18_0dB.wav,toilet_flush,0dB,Wavelet,3.73
1_448_plus_3-112356-A-18_0dB.wav,toilet_flush,0dB,Wavelet,4.45
1_56_plus_4-126532-A-18_0dB.wav,toilet_flush,0dB,Wavelet,3.0
