FILENAME,0dB,-5dB,Wiener
1_127_plus_1-47714-A-16_-5dB.wav,0.8227,0.7772,0.7047
1_144_plus_1-51036-A-16_-5dB.wav,0.3598,0.3269,0.3693
1_150_plus_4-144083-B-16_-5dB.wav,0.6656,0.6315,0.6333
1_286_plus_2-109371-B-16_-5dB.wav,0.6790,0.5075,0.5400
1_370_plus_1-69760-A-16_-5dB.wav,0.3641,0.3498,0.3435
1_43_plus_4-163606-A-16_-5dB.wav,0.7590,0.7346,0.5951
1_450_plus_2-109371-C-16_-5dB.wav,0.9230,0.8734,0.6647
1_477_plus_5-217186-C-16_-5dB.wav,0.6931,0.5766,0.4492
1_53_plus_3-134699-B-16_-5dB.wav,0.8853,0.9041,0.8179
1_75_plus_4-163609-A-16_-5dB.wav,0.5549,0.4965,0.5335
