filename,category,snr_level,method,processing_time_ms
1_158_plus_4-191327-A-38_0dB.wav,clock_tick,0dB,Wiener,1304.55
1_16_plus_1-35687-A-38_0dB.wav,clock_tick,0dB,Wiener,1.5
1_172_plus_1-57163-A-38_0dB.wav,clock_tick,0dB,Wiener,2.62
1_18_plus_5-235671-A-38_0dB.wav,clock_tick,0dB,Wiener,1.41
1_235_plus_3-143933-A-38_0dB.wav,clock_tick,0dB,Wiener,1.26
1_244_plus_5-219342-A-38_0dB.wav,clock_tick,0dB,Wiener,3.93
1_296_plus_2-127108-A-38_0dB.wav,clock_tick,0dB,Wiener,1.97
1_324_plus_4-194711-A-38_0dB.wav,clock_tick,0dB,Wiener,1.42
1_486_plus_4-181035-A-38_0dB.wav,clock_tick,0dB,Wiener,1.51
1_55_plus_1-48413-A-38_0dB.wav,clock_tick,0dB,Wiener,1.52
