FILENAME,0dB,-5dB,Wiener
1_180_plus_3-169907-A-29_0dB.wav,0.5926,0.4157,0.5283
1_184_plus_1-17295-A-29_0dB.wav,0.6225,0.5304,0.6276
1_216_plus_2-94807-A-29_0dB.wav,0.7381,0.7188,0.6915
1_245_plus_4-210593-A-29_0dB.wav,0.5191,0.4438,0.4453
1_278_plus_2-122763-A-29_0dB.wav,0.9204,0.8858,0.8741
1_302_plus_4-194808-A-29_0dB.wav,0.7087,0.5070,0.6200
1_322_plus_5-259640-A-29_0dB.wav,0.8684,0.7922,0.8502
1_413_plus_4-204202-A-29_0dB.wav,0.6921,0.6853,0.7176
1_42_plus_2-92978-A-29_0dB.wav,0.8312,0.7317,0.6249
1_79_plus_5-243036-A-29_0dB.wav,0.7745,0.7046,0.7131
